Sucursal,País,Ciudad,Mes,Categoría,Ventas,Empleados Sucursal
Sucursal_1,Perú,Lima,2024-01,Refrigeradores,25414,49
Sucursal_1,Perú,Lima,2024-01,Lavadoras,13186,49
Sucursal_1,Perú,Lima,2024-01,Televisores,10885,49
Sucursal_1,Perú,Lima,2024-01,Microondas,60145,49
Sucursal_1,Perú,Lima,2024-02,Refrigeradores,20565,49
Sucursal_1,Perú,Lima,2024-02,Lavadoras,9043,49
Sucursal_1,Perú,Lima,2024-02,Televisores,9017,49
Sucursal_1,Perú,Lima,2024-02,Microondas,75825,49
Sucursal_1,Perú,Lima,2024-03,Refrigeradores,20165,49
Sucursal_1,Perú,Lima,2024-03,Lavadoras,22573,49
Sucursal_1,Perú,Lima,2024-03,Televisores,14667,49
Sucursal_1,Perú,Lima,2024-03,Microondas,62770,49
Sucursal_1,Perú,Lima,2024-04,Refrigeradores,39566,49
Sucursal_1,Perú,Lima,2024-04,Lavadoras,12104,49
Sucursal_1,Perú,Lima,2024-04,Televisores,38159,49
Sucursal_1,Perú,Lima,2024-04,Microondas,92017,49
Sucursal_1,Perú,Lima,2024-05,Refrigeradores,22844,49
Sucursal_1,Perú,Lima,2024-05,Lavadoras,35662,49
Sucursal_1,Perú,Lima,2024-05,Televisores,13053,49
Sucursal_1,Perú,Lima,2024-05,Microondas,49172,49
Sucursal_1,Perú,Lima,2024-06,Refrigeradores,26438,49
Sucursal_1,Perú,Lima,2024-06,Lavadoras,39836,49
Sucursal_1,Perú,Lima,2024-06,Televisores,28302,49
Sucursal_1,Perú,Lima,2024-06,Microondas,124083,49
Sucursal_1,Perú,Lima,2024-07,Refrigeradores,17811,49
Sucursal_1,Perú,Lima,2024-07,Lavadoras,26950,49
Sucursal_1,Perú,Lima,2024-07,Televisores,9413,49
Sucursal_1,Perú,Lima,2024-07,Microondas,65068,49
Sucursal_1,Perú,Lima,2024-08,Refrigeradores,9324,49
Sucursal_1,Perú,Lima,2024-08,Lavadoras,24057,49
Sucursal_1,Perú,Lima,2024-08,Televisores,28865,49
Sucursal_1,Perú,Lima,2024-08,Microondas,60308,49
Sucursal_1,Perú,Lima,2024-09,Refrigeradores,26711,49
Sucursal_1,Perú,Lima,2024-09,Lavadoras,17848,49
Sucursal_1,Perú,Lima,2024-09,Televisores,27753,49
Sucursal_1,Perú,Lima,2024-09,Microondas,50026,49
Sucursal_1,Perú,Lima,2024-10,Refrigeradores,28418,49
Sucursal_1,Perú,Lima,2024-10,Lavadoras,40547,49
Sucursal_1,Perú,Lima,2024-10,Televisores,15951,49
Sucursal_1,Perú,Lima,2024-10,Microondas,117952,49
Sucursal_1,Perú,Lima,2024-11,Refrigeradores,14162,49
Sucursal_1,Perú,Lima,2024-11,Lavadoras,40135,49
Sucursal_1,Perú,Lima,2024-11,Televisores,14103,49
Sucursal_1,Perú,Lima,2024-11,Microondas,82722,49
Sucursal_1,Perú,Lima,2024-12,Refrigeradores,28343,49
Sucursal_1,Perú,Lima,2024-12,Lavadoras,23043,49
Sucursal_1,Perú,Lima,2024-12,Televisores,38191,49
Sucursal_1,Perú,Lima,2024-12,Microondas,103337,49
Sucursal_2,México,Guadalajara,2024-01,Refrigeradores,12429,38
Sucursal_2,México,Guadalajara,2024-01,Lavadoras,34113,38
Sucursal_2,México,Guadalajara,2024-01,Televisores,104172,38
Sucursal_2,México,Guadalajara,2024-01,Microondas,52856,38
Sucursal_2,México,Guadalajara,2024-02,Refrigeradores,40458,38
Sucursal_2,México,Guadalajara,2024-02,Lavadoras,35885,38
Sucursal_2,México,Guadalajara,2024-02,Televisores,74377,38
Sucursal_2,México,Guadalajara,2024-02,Microondas,30071,38
Sucursal_2,México,Guadalajara,2024-03,Refrigeradores,35060,38
Sucursal_2,México,Guadalajara,2024-03,Lavadoras,39805,38
Sucursal_2,México,Guadalajara,2024-03,Televisores,84317,38
Sucursal_2,México,Guadalajara,2024-03,Microondas,25638,38
Sucursal_2,México,Guadalajara,2024-04,Refrigeradores,39234,38
Sucursal_2,México,Guadalajara,2024-04,Lavadoras,29883,38
Sucursal_2,México,Guadalajara,2024-04,Televisores,152699,38
Sucursal_2,México,Guadalajara,2024-04,Microondas,50701,38
Sucursal_2,México,Guadalajara,2024-05,Refrigeradores,12195,38
